rno	uno	mno	date	time	adult	Teenager	senior	seat	coupon	price
25	97	5	2025-06-28	17:00:00	2	1	2	G03,G04,G05,G06,G07	0	70000
26	66	18	2025-06-28	8:00:00	3	2	0	B03,B04,B05,B06,B07	0	57400
27	81	3	2025-06-28	14:00:00	1	1	1	D03,D04,D05	1	24000
28	29	5	2025-06-28	23:00:00	2	1	0	E05,E06,E07	1	32000
29	63	1	2025-06-28	14:00:00	1	1	0	D05,D06	2	24800
30	7	1	2025-06-28	8:00:00	2	0	2	D01,D02,D03,D04	0	39200
31	4	61	2025-06-28	20:00:00	2	0	1	B04,B05,B06	2	38800
32	89	61	2025-06-28	17:00:00	1	2	1	B04,B05,B06,B07	0	56000
33	58	61	2025-06-28	20:00:00	2	1	1	D02,D03,D04,D05	1	42000
34	16	8	2025-06-28	20:00:00	1	1	0	D01,D02	1	14000
35	72	8	2025-06-28	14:00:00	3	2	0	E03,E04,E05,E06,E07	0	82000
36	1	1	2025-06-28	11:00:00	0	1	0	A01	1	0
37	93	1	2025-06-28	17:00:00	2	0	0	D04,D05	0	36000
38	100	5	2025-06-28	8:00:00	0	0	1	B03	1	0
39	97	3	2025-06-28	23:00:00	1	1	0	A03,A04	1	14000
40	19	3	2025-06-28	17:00:00	2	0	0	D09,D10	0	36000
41	10	1	2025-06-28	8:00:00	3	1	0	C05,C06,C07,C08	1	29600
42	56	1	2025-06-28	17:00:00	3	0	1	H02,H03,H04,H05	0	64000
43	77	1	2025-06-28	23:00:00	1	1	0	H03,H04	2	24800
44	45	1	2025-06-28	23:00:00	3	0	0	G02,G03,G04	1	36000
45	49	61	2025-06-28	20:00:00	3	2	0	A05,A06,A07,A08,A09	2	74800
46	25	8	2025-06-28	11:00:00	3	0	2	B01,B02,B03,B04,B05	1	56000
47	6	61	2025-06-28	11:00:00	1	2	0	E01,E02,E03	0	46000
48	11	61	2025-06-28	17:00:00	1	2	0	H03,H04,H05	0	46000
49	64	61	2025-06-28	8:00:00	2	2	1	B04,B05,B06,B07,B08	0	51800
50	27	8	2025-06-28	20:00:00	2	2	0	D05,D06,D07,D08	1	46000
51	9	5	2025-06-28	14:00:00	0	2	1	B02,B03,B04	2	32400
52	41	5	2025-06-28	23:00:00	2	1	2	G04,G05,G06,G07,G08	0	70000
53	79	3	2025-06-28	20:00:00	1	1	1	F05,F06,F07	1	24000
54	65	18	2025-06-28	8:00:00	3	0	2	C04,C05,C06,C07,C08	0	51800
55	53	3	2025-06-28	17:00:00	1	0	0	E05	2	10800
56	55	5	2025-06-28	20:00:00	0	1	2	B01,B02,B03	0	34000
57	29	1	2025-06-28	20:00:00	3	0	2	C05,C06,C07,C08,C09	2	66800
58	61	1	2025-06-28	8:00:00	2	0	0	D02,D03	2	18000
59	39	1	2025-06-28	23:00:00	2	0	0	E03,E04	2	28800
60	35	1	2025-06-28	20:00:00	0	2	1	E03,E04,E05	2	32400
61	50	1	2025-06-28	23:00:00	2	0	0	G05,G06	2	28800
62	76	5	2025-06-28	11:00:00	2	0	1	D02,D03,D04	1	28000
63	16	5	2025-06-28	23:00:00	2	0	0	D05,D06	2	28800
64	72	61	2025-06-28	14:00:00	0	0	1	A04	2	6000
65	64	61	2025-06-28	23:00:00	2	2	0	E02,E03,E04,E05	0	64000
66	23	61	2025-06-28	8:00:00	2	2	1	G01,G02,G03,G04,G05	0	51800
67	18	61	2025-06-28	17:00:00	0	0	1	B02	1	0
68	47	8	2025-06-28	8:00:00	3	1	0	E04,E05,E06,E07	1	29600
69	59	61	2025-06-28	8:00:00	2	0	0	A01,A02	1	7200
70	61	61	2025-06-28	14:00:00	2	0	0	C03,C04	2	28800
71	96	3	2025-06-28	8:00:00	0	2	2	E04,E05,E06,E07	1	19600
72	21	3	2025-06-28	14:00:00	1	0	0	F04	1	0
73	18	3	2025-06-28	14:00:00	3	2	0	D02,D03,D04,D05,D06	1	64000
74	4	18	2025-06-28	23:00:00	2	2	1	D01,D02,D03,D04,D05	2	66800
75	53	18	2025-06-28	14:00:00	0	2	1	D02,D03,D04	1	24000
76	29	3	2025-06-28	23:00:00	2	0	2	B03,B04,B05,B06	1	38000
77	78	5	2025-06-28	23:00:00	2	0	2	F05,F06,F07,F08	1	38000
78	16	1	2025-06-28	20:00:00	1	0	1	G01,G02	2	20800
79	92	1	2025-06-28	8:00:00	0	0	1	B03	1	0
80	84	1	2025-06-28	20:00:00	3	1	1	C01,C02,C03,C04,C05	1	60000
81	4	5	2025-06-28	8:00:00	2	2	1	B05,B06,B07,B08,B09	2	44600
82	51	61	2025-06-28	20:00:00	3	0	2	H04,H05,H06,H07,H08	2	66800
83	8	8	2025-06-28	23:00:00	1	0	1	D05,D06	0	28000
84	69	61	2025-06-28	8:00:00	1	0	2	D04,D05,D06	2	19400
85	76	5	2025-06-28	23:00:00	3	0	1	A04,A05,A06,A07	2	56800
86	53	5	2025-06-28	20:00:00	3	0	0	C05,C06,C07	1	36000
87	92	3	2025-06-28	23:00:00	3	0	1	B04,B05,B06,B07	1	46000
88	41	3	2025-06-28	14:00:00	3	1	1	B05,B06,B07,B08,B09	0	78000
89	50	1	2025-06-28	14:00:00	2	0	0	G05,G06	2	28800
90	62	5	2025-06-28	8:00:00	1	1	2	G01,G02,G03,G04	1	18400
91	96	1	2025-06-28	20:00:00	2	0	0	F03,F04	2	28800
92	89	1	2025-06-28	23:00:00	2	0	0	F04,F05	2	28800
93	62	61	2025-06-28	8:00:00	2	2	0	D01,D02,D03,D04	2	37600
94	82	61	2025-06-28	11:00:00	3	1	0	F04,F05,F06,F07	0	68000
95	74	61	2025-06-28	8:00:00	1	2	2	B05,B06,B07,B08,B09	0	46200
96	33	61	2025-06-28	14:00:00	2	0	2	B04,B05,B06,B07	1	38000
97	25	8	2025-06-28	8:00:00	1	2	0	A01,A02,A03	1	14200
98	23	8	2025-06-28	20:00:00	2	1	0	B02,B03,B04	2	42800
99	33	8	2025-06-28	14:00:00	1	1	2	E02,E03,E04,E05	2	44800
100	40	8	2025-06-28	8:00:00	3	1	0	E03,E04,E05,E06	0	47600
101	68	5	2025-06-28	14:00:00	3	0	1	A01,A02,A03,A04	1	46000
102	1	3	2025-06-28	8:00:00	1	0	1	E03,E04	1	1600
103	61	3	2025-06-28	20:00:00	2	1	0	A02,A03,A04	1	32000
104	67	3	2025-06-28	8:00:00	3	0	0	E01,E02,E03	2	30600
105	90	5	2025-06-28	17:00:00	1	2	0	B05,B06,B07	1	28000
106	3	61	2025-06-28	17:00:00	3	0	1	H03,H04,H05,H06	2	56800
107	66	8	2025-06-28	20:00:00	1	2	2	E05,E06,E07,E08,E09	2	58800
108	24	61	2025-06-28	11:00:00	3	1	1	A03,A04,A05,A06,A07	2	70800
109	25	8	2025-06-28	14:00:00	3	0	0	B02,B03,B04	2	46800
110	7	3	2025-06-28	17:00:00	0	1	2	A01,A02,A03	1	20000
111	20	5	2025-06-28	14:00:00	0	1	2	C04,C05,C06	0	34000
112	4	5	2025-06-28	11:00:00	1	0	1	G04,G05	1	10000
113	78	18	2025-06-28	23:00:00	2	0	1	F02,F03,F04	0	46000
114	26	1	2025-06-28	8:00:00	3	0	0	D02,D03,D04	2	30600
115	56	1	2025-06-28	23:00:00	2	0	1	F03,F04,F05	0	46000
116	14	1	2025-06-28	14:00:00	1	0	0	A02	2	10800
117	34	5	2025-06-28	20:00:00	3	0	2	B01,B02,B03,B04,B05	2	66800
118	6	5	2025-06-28	17:00:00	2	1	1	E03,E04,E05,E06	1	42000
119	7	1	2025-06-28	11:00:00	0	1	0	G02	2	8400
120	98	1	2025-06-28	20:00:00	2	2	0	F01,F02,F03,F04	2	56800
121	68	1	2025-06-28	11:00:00	0	1	1	F05,F06	2	18400
122	31	61	2025-06-28	11:00:00	1	2	0	C04,C05,C06	0	46000
123	3	61	2025-06-28	23:00:00	3	2	0	G04,G05,G06,G07,G08	1	64000
124	52	8	2025-06-28	8:00:00	0	2	0	A02,A03	1	5600
125	71	8	2025-06-28	20:00:00	3	0	0	C02,C03,C04	0	54000
126	71	8	2025-06-28	23:00:00	1	2	2	D01,D02,D03,D04,D05	1	48000
127	43	3	2025-06-28	20:00:00	1	1	2	B02,B03,B04,B05	1	34000
128	65	3	2025-06-28	11:00:00	0	2	0	C05,C06	2	22400
129	77	18	2025-06-28	20:00:00	3	2	0	E05,E06,E07,E08,E09	1	64000
130	45	5	2025-06-28	23:00:00	0	0	1	B05	0	10000
131	18	1	2025-06-28	8:00:00	3	0	0	F03,F04,F05	1	19800
132	83	3	2025-06-28	17:00:00	1	0	2	B03,B04,B05	2	30800
133	15	1	2025-06-28	20:00:00	0	0	2	D01,D02	2	16000
134	1	61	2025-06-28	8:00:00	1	0	2	C04,C05,C06	1	8600
135	34	61	2025-06-28	14:00:00	2	1	1	D03,D04,D05,D06	1	42000
136	72	5	2025-06-28	14:00:00	0	1	0	G02	0	14000
137	17	5	2025-06-28	20:00:00	2	1	2	G05,G06,G07,G08,G09	0	70000
138	16	3	2025-06-28	14:00:00	0	1	1	E01,E02	1	10000
139	74	1	2025-06-28	17:00:00	0	0	1	G02	1	0
140	46	3	2025-06-28	14:00:00	2	0	1	D05,D06,D07	2	38800
141	22	3	2025-06-28	17:00:00	1	2	0	D05,D06,D07	2	38800
142	19	5	2025-06-28	17:00:00	2	0	2	C03,C04,C05,C06	1	38000
143	19	3	2025-06-28	8:00:00	0	1	0	B03	2	4200
144	42	1	2025-06-28	8:00:00	0	2	2	E02,E03,E04,E05	0	33600
145	100	61	2025-06-28	14:00:00	0	0	1	A02	0	10000
146	28	8	2025-06-28	14:00:00	3	0	0	F04,F05,F06	0	54000
147	13	61	2025-06-28	11:00:00	2	1	0	H01,H02,H03	2	42800
148	67	8	2025-06-28	20:00:00	1	2	0	D05,D06,D07	1	28000
149	87	8	2025-06-28	20:00:00	1	2	1	C02,C03,C04,C05	1	38000
150	46	61	2025-06-28	17:00:00	1	2	1	E01,E02,E03,E04	1	38000
151	39	61	2025-06-28	17:00:00	2	1	2	B02,B03,B04,B05,B06	0	70000
152	54	8	2025-06-28	23:00:00	3	1	0	E02,E03,E04,E05	2	60800
153	10	5	2025-06-28	11:00:00	1	0	0	F01	1	0
154	69	18	2025-06-28	23:00:00	0	1	2	D01,D02,D03	0	34000
155	38	5	2025-06-28	20:00:00	2	2	0	A05,A06,A07,A08	2	56800
156	83	18	2025-06-28	8:00:00	1	1	2	A04,A05,A06,A07	1	18400
157	82	5	2025-06-28	11:00:00	2	1	1	C03,C04,C05,C06	0	60000
158	51	5	2025-06-28	8:00:00	0	1	2	G04,G05,G06	2	18200
159	84	5	2025-06-28	14:00:00	0	1	2	G05,G06,G07	0	34000
160	79	1	2025-06-28	11:00:00	2	0	0	C01,C02	1	18000
161	55	5	2025-06-28	8:00:00	2	0	0	F03,F04	0	25200
162	61	18	2025-06-28	23:00:00	1	1	0	B01,B02	0	32000
163	36	18	2025-06-28	17:00:00	0	2	0	D02,D03	1	14000
164	40	18	2025-06-28	8:00:00	3	1	0	D01,D02,D03,D04	2	40400
165	36	18	2025-06-28	17:00:00	1	0	0	A04	2	10800
166	19	18	2025-06-28	14:00:00	1	0	0	F03	2	10800
167	63	18	2025-06-28	11:00:00	3	2	0	G02,G03,G04,G05,G06	2	74800
168	90	18	2025-06-28	14:00:00	3	0	0	B03,B04,B05	1	36000
169	47	18	2025-06-28	20:00:00	2	0	1	E02,E03,E04	1	28000
170	34	61	2025-06-29	11:00:00	1	1	2	H04,H05,H06,H07	0	52000
171	58	61	2025-06-29	20:00:00	1	2	0	E05,E06,E07	1	28000
172	18	61	2025-06-29	20:00:00	2	0	1	F05,F06,F07	0	46000
173	51	61	2025-06-29	14:00:00	2	1	1	A02,A03,A04,A05	2	52800
174	61	61	2025-06-29	20:00:00	1	1	0	B03,B04	1	14000
175	81	8	2025-06-29	23:00:00	0	2	0	D04,D05	0	28000
176	67	3	2025-06-29	23:00:00	1	0	2	A02,A03,A04	1	20000
177	23	3	2025-06-29	17:00:00	1	0	1	E05,E06	0	28000
178	23	18	2025-06-29	17:00:00	2	1	0	B04,B05,B06	2	42800
179	3	61	2025-06-29	23:00:00	0	2	0	F01,F02	2	22400
180	52	61	2025-06-29	11:00:00	0	0	2	E02,E03	1	10000
181	86	61	2025-06-29	20:00:00	0	2	1	E01,E02,E03	2	32400
182	92	61	2025-06-29	17:00:00	3	2	0	A03,A04,A05,A06,A07	2	74800
183	54	8	2025-06-29	14:00:00	1	0	1	E04,E05	0	28000
184	65	61	2025-06-29	8:00:00	1	0	0	G04	1	0
185	1	18	2025-06-29	14:00:00	3	0	1	F03,F04,F05,F06	0	64000
186	67	18	2025-06-29	17:00:00	2	0	0	C02,C03	1	18000
187	17	18	2025-06-29	17:00:00	3	2	0	B01,B02,B03,B04,B05	2	74800
188	80	1	2025-06-29	14:00:00	2	1	1	B02,B03,B04,B05	1	42000
189	4	1	2025-06-29	20:00:00	1	2	0	E01,E02,E03	0	46000
190	85	3	2025-06-29	17:00:00	4	0	0	D01,D02,D03,D04	0	72000
191	73	1	2025-06-29	14:00:00	0	0	1	A04	1	0
192	29	5	2025-06-29	8:00:00	1	1	1	B03,B04,B05	2	22200
193	25	61	2025-06-29	20:00:00	3	0	1	F03,F04,F05,F06	2	56800
194	25	8	2025-06-29	17:00:00	2	0	0	F05,F06	1	18000
195	95	8	2025-06-29	17:00:00	1	2	1	D02,D03,D04,D05	2	48800
196	28	61	2025-06-29	17:00:00	1	0	2	C04,C05,C06	0	38000
197	27	8	2025-06-29	23:00:00	1	2	0	C03,C04,C05	1	28000
198	35	61	2025-06-29	14:00:00	3	1	0	E02,E03,E04,E05	2	60800
199	25	8	2025-06-29	14:00:00	0	2	1	B03,B04,B05	0	38000
200	33	8	2025-06-29	17:00:00	2	0	1	D05,D06,D07	2	38800
201	80	8	2025-06-29	23:00:00	3	1	0	E01,E02,E03,E04	0	68000
202	3	5	2025-06-29	14:00:00	0	1	2	A01,A02,A03	1	20000
203	35	3	2025-06-29	17:00:00	2	1	1	A02,A03,A04,A05	2	52800
204	60	18	2025-06-29	8:00:00	1	1	0	B05,B06	1	4400
205	23	3	2025-06-29	17:00:00	1	1	2	D05,D06,D07,D08	2	44800
206	2	1	2025-06-29	11:00:00	3	2	0	G04,G05,G06,G07,G08	1	64000
207	19	5	2025-06-29	11:00:00	1	1	2	B01,B02,B03,B04	2	44800
208	95	1	2025-06-29	14:00:00	0	2	0	E02,E03	1	14000
209	3	1	2025-06-29	14:00:00	0	2	0	H03,H04	0	28000
210	64	1	2025-06-29	14:00:00	1	1	0	A03,A04	2	24800
211	69	1	2025-06-29	20:00:00	2	0	0	F05,F06	2	28800
212	14	61	2025-06-29	17:00:00	3	1	1	C02,C03,C04,C05,C06	1	60000
213	15	61	2025-06-29	23:00:00	2	2	0	B05,B06,B07,B08	2	56800
214	9	61	2025-06-29	17:00:00	3	1	0	B02,B03,B04,B05	2	60800
215	43	61	2025-06-29	14:00:00	2	1	0	H02,H03,H04	1	32000
216	27	8	2025-06-29	11:00:00	1	0	2	C02,C03,C04	0	38000
217	15	8	2025-06-29	23:00:00	2	1	0	D02,D03,D04	0	50000
218	18	8	2025-06-29	14:00:00	3	1	0	A02,A03,A04,A05	0	68000
219	58	8	2025-06-29	20:00:00	3	0	1	E01,E02,E03,E04	1	46000
220	3	61	2025-06-29	23:00:00	0	2	2	F05,F06,F07,F08	1	34000
221	49	3	2025-06-29	23:00:00	3	2	0	D02,D03,D04,D05,D06	0	82000
222	42	18	2025-06-29	17:00:00	2	2	0	G02,G03,G04,G05	2	56800
223	4	1	2025-06-29	23:00:00	1	2	1	F01,F02,F03,F04	2	48800
224	76	18	2025-06-29	20:00:00	1	2	1	C05,C06,C07,C08	0	56000
225	57	1	2025-06-29	8:00:00	2	1	1	G03,G04,G05,G06	2	34800
226	80	1	2025-06-29	8:00:00	0	0	2	C01,C02	0	14000
227	82	61	2025-06-29	20:00:00	1	2	1	E05,E06,E07,E08	1	38000
228	89	61	2025-06-29	17:00:00	2	2	0	C04,C05,C06,C07	0	64000
229	1	8	2025-06-29	11:00:00	1	1	0	D03,D04	2	24800
230	11	8	2025-06-29	14:00:00	1	0	0	D03	0	18000
231	79	61	2025-06-29	23:00:00	3	1	1	G02,G03,G04,G05,G06	0	78000
232	97	8	2025-06-29	17:00:00	3	1	1	A05,A06,A07,A08,A09	2	70800
233	12	8	2025-06-29	17:00:00	1	0	2	E02,E03,E04	0	38000
234	57	5	2025-06-29	17:00:00	2	0	2	E05,E06,E07,E08	2	48800
235	49	5	2025-06-29	8:00:00	0	2	0	F04,F05	0	19600
236	73	5	2025-06-29	20:00:00	1	0	2	C01,C02,C03	2	30800
237	90	3	2025-06-29	23:00:00	1	1	2	F02,F03,F04,F05	2	44800
238	25	18	2025-06-29	23:00:00	1	0	0	C01	2	10800
239	3	18	2025-06-29	17:00:00	3	2	0	E03,E04,E05,E06,E07	1	64000
240	9	1	2025-06-29	11:00:00	3	0	2	E03,E04,E05,E06,E07	0	74000
241	94	3	2025-06-29	23:00:00	2	1	2	D04,D05,D06,D07,D08	1	52000
242	48	3	2025-06-29	8:00:00	0	2	2	C01,C02,C03,C04	1	19600
243	22	3	2025-06-29	17:00:00	4	0	0	A01,A02,A03,A04	0	72000
244	37	1	2025-06-29	17:00:00	3	2	0	G04,G05,G06,G07,G08	0	82000
245	82	61	2025-06-29	20:00:00	2	1	2	H04,H05,H06,H07,H08	0	70000
246	97	61	2025-06-29	17:00:00	2	1	0	D03,D04,D05	0	50000
247	90	61	2025-06-29	23:00:00	3	0	1	E01,E02,E03,E04	2	56800
248	28	8	2025-06-29	17:00:00	3	0	1	F01,F02,F03,F04	1	46000
249	48	8	2025-06-29	8:00:00	1	1	1	B03,B04,B05	2	22200
250	14	8	2025-06-29	14:00:00	1	2	0	E02,E03,E04	2	38800
251	90	8	2025-06-29	14:00:00	1	2	0	D01,D02,D03	2	38800
252	14	8	2025-06-29	23:00:00	0	2	1	B04,B05,B06	1	24000
253	92	61	2025-06-29	11:00:00	0	1	1	G05,G06	0	24000
254	41	8	2025-06-29	23:00:00	2	0	0	C04,C05	2	28800
255	17	61	2025-06-29	11:00:00	1	2	0	H05,H06,H07	2	38800
256	12	5	2025-06-29	20:00:00	0	2	0	C03,C04	2	22400
257	33	3	2025-06-29	20:00:00	2	1	1	F01,F02,F03,F04	1	42000
258	14	3	2025-06-29	20:00:00	1	2	1	D02,D03,D04,D05	1	38000
259	79	3	2025-06-29	17:00:00	1	2	2	F01,F02,F03,F04,F05	2	58800
260	30	18	2025-06-29	17:00:00	1	2	0	B04,B05,B06	2	38800
261	70	18	2025-06-29	14:00:00	3	1	1	C01,C02,C03,C04,C05	2	70800
262	65	18	2025-06-29	17:00:00	1	0	2	F02,F03,F04	2	30800
263	57	18	2025-06-29	8:00:00	0	1	2	A04,A05,A06	1	9800
264	81	3	2025-06-29	20:00:00	0	1	2	D04,D05,D06	2	28400
265	97	18	2025-06-29	23:00:00	0	1	0	A01	0	14000
266	99	1	2025-06-29	14:00:00	3	0	0	D03,D04,D05	2	46800
267	59	5	2025-06-29	11:00:00	2	1	1	A02,A03,A04,A05	2	52800
268	17	1	2025-06-29	11:00:00	1	0	2	G04,G05,G06	0	38000
269	41	3	2025-06-29	11:00:00	1	0	1	B04,B05	0	28000
270	78	1	2025-06-29	14:00:00	2	0	2	D03,D04,D05,D06	2	48800
271	36	5	2025-06-29	20:00:00	0	1	2	E03,E04,E05	2	28400
272	18	3	2025-06-29	20:00:00	2	2	1	D02,D03,D04,D05,D06	0	74000
273	12	3	2025-06-29	17:00:00	1	2	0	F04,F05,F06	2	38800
274	19	1	2025-06-29	20:00:00	1	0	0	B04	1	0
275	73	5	2025-06-29	23:00:00	1	0	2	F01,F02,F03	0	38000
276	68	1	2025-06-29	14:00:00	1	0	2	B03,B04,B05	2	30800
277	46	5	2025-06-29	8:00:00	2	0	0	C03,C04	0	25200
278	69	61	2025-06-29	11:00:00	1	1	0	E03,E04	2	24800
279	47	61	2025-06-29	14:00:00	1	0	2	H05,H06,H07	1	20000
280	44	61	2025-06-29	8:00:00	2	1	1	E04,E05,E06,E07	0	42000
281	51	8	2025-06-29	11:00:00	2	1	1	C04,C05,C06,C07	0	60000
282	95	61	2025-06-29	20:00:00	3	1	0	G05,G06,G07,G08	0	68000
283	38	8	2025-06-29	14:00:00	1	2	2	D04,D05,D06,D07,D08	1	48000
284	52	8	2025-06-29	11:00:00	3	1	0	D04,D05,D06,D07	0	68000
285	28	5	2025-06-29	20:00:00	0	2	1	C05,C06,C07	2	32400
286	55	5	2025-06-29	8:00:00	0	0	2	G01,G02	1	4000
287	100	5	2025-06-29	14:00:00	0	1	1	D03,D04	0	24000
288	41	3	2025-06-29	14:00:00	2	2	0	F02,F03,F04,F05	0	64000
289	92	18	2025-06-29	17:00:00	2	1	0	B01,B02,B03	0	50000
290	98	5	2025-06-29	23:00:00	3	1	1	G05,G06,G07,G08,G09	0	78000
291	21	3	2025-06-29	14:00:00	3	0	1	B03,B04,B05,B06	1	46000
292	20	3	2025-06-29	11:00:00	0	2	0	C01,C02	2	22400
293	50	1	2025-06-29	11:00:00	1	1	2	D05,D06,D07,D08	2	44800
294	62	61	2025-06-29	14:00:00	1	0	0	F05	1	0
295	25	61	2025-06-29	17:00:00	1	2	0	C05,C06,C07	2	38800
296	51	61	2025-06-29	8:00:00	2	2	1	D03,D04,D05,D06,D07	2	44600
297	50	61	2025-06-29	14:00:00	2	0	0	D01,D02	1	18000
298	64	61	2025-06-29	17:00:00	3	1	1	H04,H05,H06,H07,H08	0	78000
299	77	8	2025-06-29	8:00:00	0	2	2	A05,A06,A07,A08	2	28000
300	55	3	2025-06-29	20:00:00	3	0	0	C02,C03,C04	0	54000
301	67	3	2025-06-29	17:00:00	1	2	1	A03,A04,A05,A06	2	48800
302	32	18	2025-06-29	14:00:00	2	2	1	E04,E05,E06,E07,E08	0	74000
303	65	3	2025-06-29	20:00:00	3	0	1	B01,B02,B03,B04	0	64000
304	68	3	2025-06-29	8:00:00	2	1	2	A02,A03,A04,A05,A06	0	49000
305	32	5	2025-06-29	23:00:00	3	1	0	A02,A03,A04,A05	1	50000
306	79	1	2025-06-29	8:00:00	0	2	1	G04,G05,G06	2	21000
307	96	1	2025-06-29	17:00:00	0	2	1	B01,B02,B03	0	38000
308	20	61	2025-06-29	11:00:00	1	2	1	D05,D06,D07,D08	0	56000
309	2	61	2025-06-29	14:00:00	3	0	1	D02,D03,D04,D05	0	64000
310	74	8	2025-06-29	11:00:00	1	1	2	C02,C03,C04,C05	0	52000
311	53	8	2025-06-29	11:00:00	2	1	1	C01,C02,C03,C04	0	60000
312	12	61	2025-06-29	20:00:00	2	1	2	C05,C06,C07,C08,C09	0	70000
313	18	3	2025-06-29	23:00:00	3	0	1	B01,B02,B03,B04	1	46000
314	43	3	2025-06-29	11:00:00	2	2	1	E03,E04,E05,E06,E07	2	66800
315	15	18	2025-06-29	23:00:00	1	1	1	E05,E06,E07	2	34800
316	9	5	2025-06-29	23:00:00	2	0	2	A01,A02,A03,A04	0	56000
317	15	5	2025-06-29	20:00:00	2	1	0	D01,D02,D03	2	42800
318	43	61	2025-06-29	17:00:00	2	0	2	B04,B05,B06,B07	2	48800
319	64	61	2025-06-29	20:00:00	3	0	1	H04,H05,H06,H07	0	64000
320	28	61	2025-06-29	20:00:00	0	1	1	E02,E03	1	10000
321	65	8	2025-06-29	17:00:00	2	0	0	C03,C04	1	18000
322	11	8	2025-06-29	8:00:00	2	0	2	C01,C02,C03,C04	1	21200
323	1	8	2025-06-29	20:00:00	2	0	2	C01,C02,C03,C04	1	38000
324	95	8	2025-06-29	17:00:00	2	0	2	E04,E05,E06,E07	1	38000
325	1	8	2025-06-29	20:00:00	1	2	0	D03,D04,D05	2	38800
326	64	5	2025-06-29	17:00:00	1	1	0	C03,C04	2	24800
327	66	3	2025-06-29	20:00:00	2	0	0	F03,F04	1	18000
328	46	3	2025-06-29	14:00:00	2	2	1	A01,A02,A03,A04,A05	1	56000
329	83	18	2025-06-29	8:00:00	1	2	2	B03,B04,B05,B06,B07	0	46200
330	62	18	2025-06-29	8:00:00	2	1	2	G02,G03,G04,G05,G06	0	49000
331	4	3	2025-06-29	17:00:00	4	0	0	A05,A06,A07,A08	0	72000
332	84	1	2025-06-29	17:00:00	3	0	0	A04,A05,A06	1	36000
333	40	1	2025-06-29	17:00:00	1	0	2	H02,H03,H04	0	38000
334	93	61	2025-06-29	11:00:00	2	0	2	E02,E03,E04,E05	0	56000
335	73	61	2025-06-29	17:00:00	2	0	1	B04,B05,B06	2	38800
336	11	61	2025-06-29	23:00:00	2	0	1	F02,F03,F04	1	28000
337	16	8	2025-06-29	8:00:00	1	1	1	F02,F03,F04	2	22200
338	88	61	2025-06-29	8:00:00	3	1	1	A04,A05,A06,A07,A08	2	47400
339	94	3	2025-06-29	20:00:00	2	0	1	E04,E05,E06	1	28000
340	22	3	2025-06-29	14:00:00	2	1	0	E05,E06,E07	1	32000
341	52	3	2025-06-29	8:00:00	3	2	0	B05,B06,B07,B08,B09	0	57400
342	83	3	2025-06-29	14:00:00	1	0	2	D02,D03,D04	2	30800
343	94	5	2025-06-29	14:00:00	1	1	1	F05,F06,F07	0	42000
344	4	1	2025-06-29	17:00:00	2	2	1	E02,E03,E04,E05,E06	1	56000
345	39	1	2025-06-29	14:00:00	2	1	1	F02,F03,F04,F05	2	52800
346	25	5	2025-06-29	8:00:00	2	0	0	D03,D04	0	25200
347	63	18	2025-06-29	23:00:00	0	2	2	B02,B03,B04,B05	0	48000
348	19	18	2025-06-29	23:00:00	0	2	0	C04,C05	2	22400
349	88	18	2025-06-29	23:00:00	3	0	2	D04,D05,D06,D07,D08	0	74000
